#Sample description: 
#Sample:   c= 0 mg/ml  Code: 
 3.950000e-001  3.752860e+000  7.892000e-002
 4.000000e-001  3.666790e+000  1.534600e-001
 4.050000e-001  3.545570e+000  7.039000e-002
 4.100000e-001  3.435500e+000  6.083000e-002
 4.150000e-001  3.337880e+000  1.542600e-001
 4.200000e-001  3.231890e+000  9.397000e-002
 4.250000e-001  3.146930e+000  6.506000e-002
 4.300000e-001  3.041760e+000  8.497000e-002
 4.350000e-001  2.949890e+000  8.809000e-002
 4.400000e-001  2.867670e+000  1.222600e-001
 4.450000e-001  2.790340e+000  1.257700e-001
 4.500000e-001  2.694030e+000  8.914000e-002
 4.550000e-001  2.599390e+000  6.573000e-002
 4.600000e-001  2.536030e+000  7.385000e-002
 4.650000e-001  2.481080e+000  1.117700e-001
 4.700000e-001  2.447340e+000  8.574000e-002
 4.750000e-001  2.369480e+000  9.315000e-002
 4.800000e-001  2.321150e+000  6.411000e-002
 4.850000e-001  2.284070e+000  7.694000e-002
 4.900000e-001  2.228710e+000  8.350000e-002
 4.950000e-001  2.259190e+000  6.434000e-002
 5.012500e-001  2.236890e+000  5.548700e-001
 5.100000e-001  2.212560e+000  5.221000e-002
 5.200000e-001  2.215880e+000  4.601000e-002
 5.300000e-001  2.240560e+000  5.774000e-002
 5.400000e-001  2.281130e+000  5.514000e-002
 5.500000e-001  2.303180e+000  5.940000e-002
 5.600000e-001  2.350450e+000  7.853000e-002
 5.700000e-001  2.428850e+000  7.183000e-002
 5.800000e-001  2.468830e+000  7.052000e-002
 5.900000e-001  2.518520e+000  6.423000e-002
 6.000000e-001  2.545000e+000  5.669000e-002
 6.100000e-001  2.549780e+000  4.763000e-002
 6.200000e-001  2.562380e+000  8.318000e-002
 6.300000e-001  2.572880e+000  7.755000e-002
 6.400000e-001  2.538620e+000  5.343000e-002
 6.500000e-001  2.472150e+000  5.120000e-002
 6.600000e-001  2.388110e+000  7.517000e-002
 6.700000e-001  2.338960e+000  7.789000e-002
 6.800000e-001  2.239980e+000  1.291900e-001
 6.900000e-001  2.103750e+000  5.236000e-002
 7.000000e-001  2.003230e+000  5.051000e-002
 7.100000e-001  1.883870e+000  5.523000e-002
 7.200000e-001  1.736350e+000  7.297000e-002
 7.300000e-001  1.657950e+000  4.440000e-002
 7.400000e-001  1.579720e+000  4.309700e-001
 7.500000e-001  1.493290e+000  5.170000e-002
 7.600000e-001  1.384450e+000  6.169000e-002
 7.700000e-001  1.303860e+000  1.134900e-001
 7.800000e-001  1.282160e+000  5.518000e-002
 7.900000e-001  1.253590e+000  6.015000e-002
 8.000000e-001  1.191810e+000  5.977000e-002
 8.100000e-001  1.173120e+000  6.438000e-002
 8.200000e-001  1.132950e+000  5.879000e-002
 8.300000e-001  1.097950e+000  5.934000e-002
 8.400000e-001  1.064290e+000  5.376000e-002
 8.500000e-001  1.067200e+000  6.260000e-002
 8.600000e-001  1.058330e+000  6.582000e-002
 8.700000e-001  1.055860e+000  5.725000e-002
 8.800000e-001  1.024640e+000  5.072000e-002
 8.900000e-001  1.007920e+000  6.234000e-002
 9.000000e-001  1.047400e+000  5.746000e-002
 9.100000e-001  1.059850e+000  5.646000e-002
 9.200000e-001  9.986500e-001  7.549000e-002
 9.300000e-001  1.002830e+000  5.125000e-002
 9.400000e-001  1.019390e+000  6.204000e-002
 9.500000e-001  1.028320e+000  1.803000e-001
 9.600000e-001  1.042100e+000  5.549000e-002
 9.700000e-001  1.025050e+000  4.993000e-002
 9.800000e-001  1.035460e+000  7.030000e-002
 9.900000e-001  1.033720e+000  7.319000e-002
 1.005000e+000  1.040650e+000  5.430000e-002
 1.030000e+000  1.008150e+000  4.530000e-002
 1.060000e+000  1.013660e+000  4.822000e-002
 1.090000e+000  9.793200e-001  5.352000e-002
 1.120000e+000  1.015850e+000  8.329000e-002
 1.150000e+000  1.029650e+000  7.426000e-002
 1.180000e+000  1.083380e+000  9.396000e-002
 1.210000e+000  1.168640e+000  7.891000e-002
 1.240000e+000  1.240860e+000  8.237000e-002
 1.270000e+000  1.348470e+000  1.856800e-001
 1.300000e+000  1.473730e+000  9.671000e-002
 1.330000e+000  1.652410e+000  1.001300e-001
 1.360000e+000  1.798570e+000  1.108600e-001
 1.390000e+000  1.861570e+000  1.106400e-001
 1.420000e+000  1.910740e+000  1.019200e-001
 1.450000e+000  1.839890e+000  1.043300e-001
 1.480000e+000  1.794520e+000  1.025300e-001
 1.510000e+000  1.687650e+000  1.040800e-001
 1.540000e+000  1.456850e+000  1.040100e-001
 1.570000e+000  1.324870e+000  1.149300e-001
 1.600000e+000  1.066630e+000  2.576400e-001
 1.630000e+000  8.278200e-001  1.143600e-001
 1.660000e+000  5.919000e-001  1.434000e-001
 1.690000e+000  3.145300e-001  1.264600e-001
 1.720000e+000  1.038400e-001  1.333900e-001
#range-from: 1
#range-to: 222
#transmitted beam intensity from WAXS (q~1.74): 1907.740982
